url,venue,description,name
/wiki/Backlash_(2002),Kemper Arena,,Backlash
/wiki/WWE_Insurrextion#2002,Wembley Arena,,Insurrextion
/wiki/Judgment_Day_(2002),Gaylord Entertainment Center,,Judgment Day
/wiki/King_of_the_Ring_(2002),Nationwide Arena,,King of the Ring
/wiki/Vengeance_(2002),Joe Louis Arena,,Vengeance
/wiki/Unforgiven_(2002),Staples Center,,Unforgiven
/wiki/No_Mercy_(2002),Alltel Arena,,No Mercy
/wiki/Survivor_Series_(2002),Madison Square Garden,,Survivor Series
/wiki/Armageddon_(2002),Office Depot Center,,Armageddon
/wiki/Royal_Rumble_(2003),Fleet Center,,Royal Rumble
/wiki/No_Way_Out_(2003),Bell Centre,,No Way Out
/wiki/WrestleMania_XIX,Safeco Field,,WrestleMania XIX
/wiki/Judgment_Day_(2003),Charlotte Coliseum,,Judgment Day
/wiki/Bad_Blood_(2003),Compaq Center,,Bad Blood
/wiki/Vengeance_(2003),Pepsi Center,,Vengeance
/wiki/Unforgiven_(2003),Giant Center,,Unforgiven
/wiki/No_Mercy_(2003),1st Mariner Arena,,No Mercy
/wiki/Survivor_Series_(2003),American Airlines Center,,Survivor Series
/wiki/Armageddon_(2003),TD Waterhouse Center,,Armageddon
/wiki/Royal_Rumble_(2004),Wachovia Center,,Royal Rumble
/wiki/WrestleMania_XX,Madison Square Garden,,WrestleMania XX
/wiki/Backlash_(2004),Rexall Place,,Backlash
/wiki/Bad_Blood_(2004),Nationwide Arena,,Bad Blood
/wiki/The_Great_American_Bash_(2004),Norfolk Scope,,The Great American Bash
/wiki/Vengeance_(2004),Hartford Civic Center,,Vengeance
/wiki/SummerSlam_(2004),Air Canada Centre,,SummerSlam
/wiki/Unforgiven_(2004),Rose Garden,,Unforgiven
/wiki/No_Mercy_(2004),Continental Airlines Arena,,No Mercy
/wiki/Taboo_Tuesday_(2004),Bradley Center,,Taboo Tuesday
/wiki/Armageddon_(2004),Gwinnett Arena,,Armageddon
/wiki/New_Year%27s_Revolution_(2005),Coliseo de Puerto Rico,,New Year's Revolution
/wiki/Royal_Rumble_(2005),Save Mart Center,,Royal Rumble
/wiki/No_Way_Out_(2005),Mellon Arena,,No Way Out
/wiki/WrestleMania_21,Staples Center,,WrestleMania 21
/wiki/Backlash_(2005),Verizon Wireless Arena,,Backlash
/wiki/Vengeance_(2005),Thomas & Mack Center,,Vengeance
/wiki/The_Great_American_Bash_(2005),HSBC Arena,,The Great American Bash
/wiki/SummerSlam_(2005),MCI Center,,SummerSlam
/wiki/Unforgiven_(2005),Ford Center,,Unforgiven
/wiki/No_Mercy_(2005),Toyota Center,,No Mercy
/wiki/Taboo_Tuesday_(2005),iPayOne Center,,Taboo Tuesday
/wiki/Armageddon_(2005),Dunkin' Donuts Center,,Armageddon
/wiki/New_Year%27s_Revolution_(2006),Pepsi Arena,,New Year's Revolution
/wiki/No_Way_Out_(2006),1st Mariner Arena,,No Way Out
/wiki/WrestleMania_22,Allstate Arena,,WrestleMania 22
/wiki/Backlash_(2006),Rupp Arena,,Backlash
/wiki/Judgment_Day_(2006),US Airways Center,,Judgment Day
/wiki/ECW_One_Night_Stand_(2006),Hammerstein Ballroom,,One Night Stand
/wiki/The_Great_American_Bash_(2006),Conseco Fieldhouse,,The Great American Bash
/wiki/SummerSlam_(2006),TD Banknorth Garden,,SummerSlam
/wiki/Unforgiven_(2006),Air Canada Centre,,Unforgiven
/wiki/Cyber_Sunday_(2006),U.S. Bank Arena,,Cyber Sunday
/wiki/Survivor_Series_(2006),Wachovia Center,,Survivor Series
/wiki/Armageddon_(2006),Richmond Coliseum,,Armageddon
/wiki/Royal_Rumble_(2007),AT&T Center,,Royal Rumble
/wiki/No_Way_Out_(2007),Staples Center,,No Way Out
/wiki/WrestleMania_23,Ford Field,,WrestleMania 23
/wiki/Backlash_(2007),Philips Arena,,Backlash
/wiki/One_Night_Stand_(2007),Jacksonville Veterans Memorial Arena,,One Night Stand
/wiki/Vengeance:_Night_of_Champions,Toyota Center,,Vengeance: Night of Champions
/wiki/The_Great_American_Bash_(2007),HP Pavilion,,The Great American Bash
/wiki/SummerSlam_(2007),Continental Airlines Arena,,SummerSlam
